Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form Of Contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,NDA/Pre Qualification,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Published Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Varanasi,06/NIT/BED/VNS/2023-24,2023_BSNL_166163_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,590,Accounts Officer(Cash) O/o The GMTD BSNL Varanasi,Varanasi,No,"8,202",No,fixed,NA,Accounts Officer(Cash) O/o The GMTD BSNL Varanasi,Varanasi,"Operation andComprehensive Maintenance of EMS at TE BldgPeernagarand CAMC of EMS at TEBldg Saidpur, Birno Dullahpur Dildar Nagar Rauza, Mohammadabad and Zamania under GZP(SH Removal of initial defects of CAMC sites taken from Department) (2nd Call)","Operation andComprehensive Maintenance of EMS at TE BldgPeernagarand CAMC of EMS at TEBldg Saidpur, Birno Dullahpur Dildar Nagar Rauza, Mohammadabad and Zamania under GZP(SH Removal of initial defects of CAMC sites taken from Department) (2nd Call)",Please refer Tender documents.,NA,"4,10,098",Electrical Works,NA,Tender,90,30,Ghazipur,233001,NA,NA,NA,"O/o The Executive Engineer (E), BSNL ED Varanasi",No,No,30-Aug-2023 05:15 PM,22-Sep-2023 04:00 PM,30-Aug-2023 05:20 PM,20-Sep-2023 04:00 PM,NA,NA,30-Aug-2023 05:30 PM,20-Sep-2023 04:00 PM,"The Executive Engineer (E), BSNL ED Varanasi","The Executive Engineer (E), BSNL Electrical Division, T E Bldg. Shivpuava, Varanasi"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Udaipur||JTO (Plg),RJUPRD-23/11(16)/26/2023-ADMN AND PLG-UPR,2023_BSNL_166147_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,590,BSNL,BSNL,Yes,"63,957",Yes,fixed,NA,BSNL,BSNL,E-Tender for Laying PLB pipe/ Duct and Associated works by Open Trench,"E-Tender for Laying PLB pipe/ Duct and Associated works by Open Trench 
Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works under 
4G Saturation Village(Bhoori Ghanti,AsiyaRao,Rampur and Charwara) in Banswara SSA",Please refer Tender documents.,NA,"25,58,259",Miscellaneous Works,NA,Tender,180,365,banswara,327001,NA,NA,NA,o/o agm planning,No,No,30-Aug-2023 04:00 PM,20-Sep-2023 03:00 PM,30-Aug-2023 04:00 PM,19-Sep-2023 02:30 PM,NA,NA,30-Aug-2023 04:00 PM,19-Sep-2023 02:30 PM,GM BA UDAIPUR,"Doorsanchar bhawan, HM Sec-4, Udaipur"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Jhunjhunu||JTO Plg-II,400815-RJJJND-22/15(23)/2/2023,2023_BSNL_166043_1,Yes,Open Tender,Works,Services,2,No,No,Offline,No,No,No,"1,180",BSNL,BSNL,Yes,1,Yes,fixed,NA,BSNL,BSNL,400815-RJJJND-22/15(23)/2/2023,"Expression of Interest (EOI) through E-Tender for outsourcing
Operation and Maintenance of CSCs of Jhunjhunu, Churu and Sikar
SSAs in Jhunjhunu BA.",Please refer Tender documents.,NA,7,Miscellaneous Services,NA,Tender,120,365,Jhunjhunu BA,333001,NA,NA,NA,O/o GM-BA Jhunjhunu,No,No,29-Aug-2023 05:00 PM,21-Sep-2023 11:10 AM,29-Aug-2023 05:00 PM,20-Sep-2023 11:00 AM,NA,NA,29-Aug-2023 05:00 PM,20-Sep-2023 11:00 AM,GM-BA Jhunjhunu,"O/o GM-BA BSNL, C-14, RIICO Area, Jhunjhunu"
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||GMM,WTR Mumbai/ DGMM WTR Thane||SDE Admin, Thane",NIT-18/CNTXW/MBI/Sheva AF /FibreHiring/2023-24,2023_BSNL_166029_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,590,BSNL,BSNL,Yes,"37,800",Yes,fixed,NA,BSNL IFA WTR Mumbai,Mumbai,E-TENDER for Leasing-in OFC Dark Fibre for  AirForce Sheva from Panvel OFC Station to  MTNL Cable Joint at Latitude  18.9132420478 and Longitude 72.9833099553  near Sheva Air Force Station,E-TENDER for Leasing-in OFC Dark Fibre for  AirForce Sheva from Panvel OFC Station to  MTNL Cable Joint at Latitude  18.9132420478 and Longitude 72.9833099553  near Sheva Air Force Station,Please refer Tender documents.,NA,"12,60,000",Job Works,NA,Tender,90,365,Panvel,410206,NA,NA,NA,"DE Admin  O/o GM  CN-TX West, Mumbai",No,No,29-Aug-2023 04:00 PM,23-Sep-2023 03:00 PM,29-Aug-2023 04:00 PM,22-Sep-2023 03:00 PM,NA,NA,29-Aug-2023 04:00 PM,22-Sep-2023 03:00 PM,"DE Admin  O/o GM  CN-TX W,Mumbai","DE (Admin) O/o GM CN-TX West, Administrative Building, Near Teen Petrol    
Pump, Tekadi Bunglow, Thane-400602  Tel No-  022-25432727"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Projects||GM TP LW||DGM (TP) Dehradun,CNNCO-17/11/64/2023-DD/T-295,2023_BSNL_165967_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,590,Account Officer BSNL O/o DGMM Dehradun,Dehradun,Yes,"1,01,730",Yes,fixed,NA,Account Officer BSNL O/o DGMM Dehradun,Dehradun,"Patch works in Bhagirathipuram-Ghansali, Ghansali-Rajakhet, Tipri-Anjanisen OFC route","E-Tender for Laying/Pulling PLB pipe/ Duct by Open Trench Method/Trenchless Technology and Optical Fiber Cable Pulling/Blowing, splicing works and Associated works for Patch works in Bhagirathipuram-Ghansali,Ghansali-Rajakhet,Tipri-Anjanisen OFC Rout",Please refer Tender documents.,NA,"40,69,200",OFC Laying Works,NA,Tender,150,365,GM CN TX-N Dehradun subregion,248001,NA,NA,NA,DE (Survey NFS) office of GM CN Tx-N Dehradun,No,No,29-Aug-2023 02:00 PM,20-Sep-2023 02:00 PM,29-Aug-2023 02:00 PM,19-Sep-2023 02:00 PM,29-Aug-2023 02:00 PM,19-Sep-2023 02:00 PM,29-Aug-2023 02:00 PM,19-Sep-2023 02:00 PM,DE (Survey NFS) Dehradun,"Office Of GM CN Tx-N Dehradun, BSNL Tele Exch Compound, Patelnagar, near lal pul, Dehradun"
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||GMTD, Kolhapur",KTD/TP-III/31/129-C/JOB Based/SNDG,2023_BSNL_165866_1,Yes,Open Tender,EOI,Services,2,No,No,Offline,No,No,No,590,BSNL Kolhapur,BSNL,Yes,"46,053",Yes,fixed,NA,BSNL Kolhapur,Kolhapur,"Job based work for Watch and Ward of BSNL Telecom Installations, Offices, Buildings, Store Depots and Premises in Sindhudurg SSA","Job based work for Watch and Ward of BSNL Telecom Installations, Offices, Buildings, Store Depots and Premises in Kolhapur BA
 ( Sindhudurg SSA ) of  MAHARASHTRA TELECOM CIRCLE",Please refer Tender documents.,NA,"18,42,120",Manpower Supply,NA,Tender,150,365,Sindhudurg SSA,416520,NA,NA,NA,O/o AGM (Tender),No,No,29-Aug-2023 01:30 PM,20-Sep-2023 03:00 PM,29-Aug-2023 01:30 PM,18-Sep-2023 03:00 PM,NA,NA,29-Aug-2023 01:30 PM,18-Sep-2023 03:00 PM,AGM (Tender),"O/o PGMTD BSNL Telephone Bhavan, Tarabai Park, Kolhapur 416003"
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jharkhand Telecom Circle||GMTD, Dhanbad",GMBA/DNB/BB Installation Dismantling/DMK OA/09,2023_BSNL_165973_1,Yes,Open Tender,Fixed-rate,Services,2,No,No,Offline,No,No,No,590,AO CASH BSNL DHANBAD,DHANBAD,Yes,"13,369",Yes,percentage,2.5%,AO CASH BSNL DHANBAD,DHANBAD,Installation and Dismantling of Battery Banks in BSNL Dumka OA under Dhanbad BA,Installation and Dismantling of Battery Banks in BSNL Dumka OA under Dhanbad BA,Please refer Tender documents.,NA,"5,34,760",Miscellaneous Services,NA,Tender,90,240,Dumka,814101,NA,NA,NA,Dhanbad,No,No,28-Aug-2023 06:30 PM,22-Sep-2023 12:00 PM,28-Aug-2023 06:30 PM,20-Sep-2023 06:00 PM,NA,NA,28-Aug-2023 06:30 PM,20-Sep-2023 06:00 PM,"JTO NWP, O/o the GM BSNL, Dhanbad","2nd Floor, CTO Building, Hirapur, Dhanbad, PIN 826001"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||PGMTD-Jaipur||JTO(IT),T-27/Cat-III/2023-24,2023_BSNL_165916_1,Yes,Open Tender,EOI,Services,2,No,No,Offline,No,No,No,"1,180","A.O. Cash , PGMTD Jaipur BSNL",Jaipur,Yes,"20,000",Yes,fixed,NA,"A.O. Cash , PGMTD Jaipur BSNL",Jaipur,For EOI (Expression of Interest) for Operation and Maintenance of BSNL CSCs of Category III in business area of Jaipur,For EOI (Expression of Interest) for Operation and Maintenance of BSNL CSCs of Category III in business area of Jaipur,Please refer Tender documents.,NA,0.00,Miscellaneous Services,NA,Tender,150,365,Category-III CSC Jaipur BA,302010,NA,NA,NA,"AGM PLG,First floor,Tax building,M.I Road,Jaipur",No,No,28-Aug-2023 06:00 PM,20-Sep-2023 12:00 PM,28-Aug-2023 06:00 PM,19-Sep-2023 11:00 AM,NA,NA,28-Aug-2023 06:00 PM,19-Sep-2023 11:00 AM,AGM PLANNING,"AGM PLG,First floor,Tax building,M.I Road,Jaipur"
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jharkhand Telecom Circle||GMTD, Dhanbad",GMBA/DNB/BB Installation Dismantling/DNB OA/09,2023_BSNL_165767_1,Yes,Open Tender,Fixed-rate,Services,2,No,No,Offline,No,No,No,590,AO CASH BSNL DHANBAD,DHANBAD,Yes,"21,186",Yes,percentage,2.5%,AO CASH BSNL DHANBAD,DHANBAD,Installation and Dismantling of Battery Banks in BSNL Dhanbad OA,Installation and Dismantling of Battery Banks in BSNL Dhanbad OA,Please refer Tender documents.,NA,"8,47,433",Miscellaneous Services,NA,Tender,90,240,Dhanbad,826001,NA,NA,NA,Dhanbad,No,No,28-Aug-2023 06:00 PM,21-Sep-2023 12:00 PM,28-Aug-2023 06:00 PM,19-Sep-2023 06:00 PM,NA,NA,28-Aug-2023 06:30 PM,19-Sep-2023 06:00 PM,"JTO NWP O/o the GMBA, BSNL Dhanbad","2nd Floor, CTO Building, Hirapur, Dhanbad, PIN 826001"
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Assam Telecom Circle Guwahati||GMTD, Bongaigaon",WX-9783/BGN/Tender /Rigger/2023-24/19 Dt. 26-08-23,2023_BSNL_165860_1,Yes,Open Tender,Works,Services,2,No,No,Offline,No,No,No,590,"Accounts Officer (Cash), BSNL, O/o GMTD Bongaigaon",Bongaigaon,Yes,"24,979",Yes,fixed,NA,"Accounts Officer (Cash), BSNL, O/o GMTD Bongaigaon",Bongaigaon,Hiring rigger services on call (per day basis) in Bongaigaon BA,"Providing Rigger Services on Call Basis (Per Day Basis)
for R. F. Optimization and Micro alignment of GSM,
Minilink etc of Bongaigaon BA",Please refer Tender Document.,NA,"9,99,176",Repair and Maintenance Services,Rigger Services,Tender,150,365,Bongaigaon SSA/BA,783380,NA,NA,NA,"O/o DE (P and A), Bongaigaon",No,No,28-Aug-2023 10:00 AM,19-Sep-2023 04:00 PM,28-Aug-2023 10:00 AM,18-Sep-2023 04:00 PM,28-Aug-2023 10:00 AM,04-Sep-2023 04:00 PM,28-Aug-2023 11:00 AM,18-Sep-2023 04:00 PM,"General Manager Telecom District, Bongaigaon","O/o the GMTD, BSNL, Bongaigaon
Telephone Exchange Building, Paglasthan
P.O. and Dist. Bongaigaon-783380"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Muzaffarpur,GC-1057/Stationary/MTH/2023-24,2023_BSNL_165864_1,Yes,Open Tender,Supply,Goods,2,No,No,Offline,No,No,No,590,"AO (Cash), O/o The GMTD Muzaffarpur",Muzaffarpur,Yes,"6,899",Yes,fixed,NA,"AO (Cash), O/o The GMTD Muzaffarpur",Muzaffarpur,Supply of Office and Computer Stationary Materials in MOTIHARI OA,Supply of Office and Computer Stationary Materials in MOTIHARI OA,Please refer Tender documents.,NA,"2,75,960",Consumables - Paper/Printing/Photocopy Paper,NA,Tender,150,365,MOTIHARI OA,845401,NA,NA,NA,"CONFERENCE HALL, 1ST FLOOR, GMTD, MUZAFFARPUR",No,No,28-Aug-2023 09:00 AM,21-Sep-2023 03:00 PM,28-Aug-2023 10:00 AM,20-Sep-2023 02:00 PM,NA,NA,28-Aug-2023 11:00 AM,20-Sep-2023 02:00 PM,"AGM (Planning), O/o The PGM, Muzaffarpur BA","Door Sanchar Bhawan, Company Bagh, Muzaffarpur-842001"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Muzaffarpur,GC-1056/Stationary/CHP/2023-24,2023_BSNL_165861_1,Yes,Open Tender,Supply,Goods,2,No,No,Offline,No,No,No,590,"AO (Cash), O/o The GMTD Muzaffarpur",Muzaffarpur,Yes,"4,607",Yes,fixed,NA,"Accounts Officer (Cash), O/o GMTD, Muzaffarpur",Muzaffarpur,Supply of Office and Computer Stationary Materials in CHAPRA OA,Supply of Office and Computer Stationary Materials in CHAPRA OA,Please refer Tender documents.,NA,"1,84,265",Consumables - Paper/Printing/Photocopy Paper,NA,Tender,150,365,CHAPRA OA,841301,NA,NA,NA,"CONFERENCE HALL, 1ST FLOOR, GMTD, MUZAFFARPUR",No,No,28-Aug-2023 09:00 AM,20-Sep-2023 03:00 PM,28-Aug-2023 10:00 AM,19-Sep-2023 02:00 PM,NA,NA,28-Aug-2023 11:00 AM,19-Sep-2023 02:00 PM,"AGM (Planning), O/o The PGM, Muzaffarpur BA","Door Sanchar Bhawan, Company Bagh, Muzaffarpur-842001"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Bhagalpur,D-211/E-Tender/Outsourcing BTS/BGP/23-,2023_BSNL_165693_4,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,590,"AO CASH, BSNL",BHAGALPUR,Yes,"28,656",Yes,fixed,NA,"AO CASH, BSNL",BHAGALPUR,"D-211/E-Tender/Outsourcing BTS/ZONE-4, KSN-OA","Upkeep of the BTS infrastructure, BTS Rigger activity infrastructure maintenance for ZONE 4, KSN OA",Please refer Tender documents.,NA,"14,32,800",Miscellaneous Works,NA,Tender,150,365,BHAGALPUR BA,812001,NA,NA,NA,BHAGALPUR,No,No,25-Aug-2023 02:05 PM,22-Sep-2023 12:00 PM,25-Aug-2023 02:05 PM,21-Sep-2023 11:00 AM,NA,NA,25-Aug-2023 02:05 PM,21-Sep-2023 11:00 AM,"GM BA, BHAGALPUR","O/o GM-BA, BSNL, Bhagalpur. M.G.Road,"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Bhagalpur,D-211/E-Tender/Outsourcing BTS/BGP/23-,2023_BSNL_165693_2,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,590,"AO CASH, BSNL",BHAGALPUR,Yes,"44,688",Yes,fixed,NA,"AO CASH, BSNL",BHAGALPUR,"D-211/E-Tender/Outsourcing BTS/ZONE-2, MGR-OA","Upkeep of the BTS infrastructure, BTS Rigger activity infrastructure maintenance for ZONE 2, MGR OA",Please refer Tender documents.,NA,"22,34,400",Miscellaneous Works,NA,Tender,150,365,BHAGALPUR BA,812001,NA,NA,NA,BHAGALPUR,No,No,25-Aug-2023 02:00 PM,22-Sep-2023 12:00 PM,25-Aug-2023 02:00 PM,21-Sep-2023 11:00 AM,NA,NA,25-Aug-2023 02:00 PM,21-Sep-2023 11:00 AM,"GM BA, BHAGALPUR","O/o GM-BA, BSNL, Bhagalpur. M.G.Road,"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Bhagalpur,D-211/E-Tender/Outsourcing BTS/BGP/23-,2023_BSNL_165693_3,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,590,"AO CASH, BSNL",BHAGALPUR,Yes,"87,120",Yes,fixed,NA,"AO CASH, BSNL",BHAGALPUR,"D-211/E-Tender/Outsourcing BTS/ZONE-3, KTR-OA","Upkeep of the BTS infrastructure, BTS Rigger activity infrastructure maintenance for ZONE 3, KTR OA",Please refer Tender documents.,NA,"43,56,000",Miscellaneous Works,NA,Tender,150,365,BHAGALPUR BA,812001,NA,NA,NA,BHAGALPUR,No,No,25-Aug-2023 02:00 PM,22-Sep-2023 12:00 PM,25-Aug-2023 02:00 PM,21-Sep-2023 11:00 AM,NA,NA,25-Aug-2023 02:00 PM,21-Sep-2023 11:00 AM,"GM BA, BHAGALPUR","O/o GM-BA, BSNL, Bhagalpur. M.G.Road,"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Bhagalpur,D-211/E-Tender/Outsourcing BTS/BGP/23-,2023_BSNL_165693_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,590,BSNL,BSNL,Yes,"69,072",Yes,fixed,NA,BSNL,BSNL,"D-211/E-Tender/Outsourcing BTS/ZONE-1, BGP-OA","Upkeep of the BTS infrastructure, BTS Rigger activity infrastructure maintenance- for ZONE 1, BGP OA",Please refer Tender documents.,NA,"34,53,600",Miscellaneous Works,NA,Tender,150,365,BHAGALPUR BA,812001,NA,NA,NA,BHAGALPUR,No,No,25-Aug-2023 01:40 PM,22-Sep-2023 12:00 PM,25-Aug-2023 01:40 PM,21-Sep-2023 11:00 AM,NA,NA,25-Aug-2023 01:40 PM,21-Sep-2023 11:00 AM,"GM BA, BHAGALPUR","O/o GM-BA, BSNL, Bhagalpur.
M.G.Road,"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Karnataka Telecom Circle||GMTD Bellary,PLGETRprSMPSPP/2324/1dt170823,2023_BSNL_165587_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,590,AO CASH BSNL RAICHUR,RAICHUR,Yes,"22,660",Yes,fixed,NA,AO CASH BSNL RAICHUR,RAICHUR,Repair of SMPS Power Plant Modules and Control Panels of various makes including all types of spares working in various exchanges and BTSs in Raichur SSA,Repair of SMPS Power Plant Modules and Control Panels of various makes including all types of spares working in various exchanges and BTSs in Raichur SSA,NA,NA,NA,Miscellaneous Works,Repair of SMPS Power Plant Modules,Tender,150,365,RAICHUR SSA,584102,O/o GMTD BSNL Raichur,"O/o GMTD BSNL, Hyderabad Road,  Raichur-584102",05-Sep-2023 11:00 AM,O/o GMTD BSNL Raichur,No,No,25-Aug-2023 10:00 AM,21-Sep-2023 03:30 PM,25-Aug-2023 10:00 AM,20-Sep-2023 03:00 PM,25-Aug-2023 10:00 AM,05-Sep-2023 11:00 AM,25-Aug-2023 10:00 AM,20-Sep-2023 03:00 PM,AGM PLG RAICHUR,O/o GMTD BSNL Raichur-584102
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Tamilnadu Telecom Circle||GM Trichy,TNSZBC 11/12(20)/3/2023 ADMNPLG CM SZBC DT 22.8.23,2023_BSNL_165313_1,Yes,Open Tender,EOI,Services,2,No,No,Offline,No,No,No,590,AO CASH BSNL TN CIRCLE,CHENNAI,Yes,"1,00,000",Yes,fixed,NA,AO CASH BSNL TN CIRCLE,CHENNAI,EOI for engaging Ext. Audit for Technical and Functional audit of four Zonal Centers ICB,EOI for engaging Ext. Audit for Technical and Functional audit of four Zonal Centers ICB,Please refer Tender documents.,NA,"20,00,000",Miscellaneous Services,NA,Tender,150,90,"GM Office, BSNL, Trichy",620001,NA,NA,NA,"GM Office, BSNL, Trichy",No,No,22-Aug-2023 06:20 PM,21-Sep-2023 03:00 PM,22-Aug-2023 06:20 PM,20-Sep-2023 01:00 PM,23-Aug-2023 10:00 AM,31-Aug-2023 05:00 PM,23-Aug-2023 10:00 AM,20-Sep-2023 01:00 PM,Off CGM BSNLTN Circle,NO 16 GREAMS ROAD CHENNAI 6
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Jodhpur||AGM(NWP-CFA),S-4-1490/OFC/4G Sites/Jodhpur SSA/23-24,2023_BSNL_165179_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,590,"AO (Cash), BSNL, O/o GMTD, Jodhpur",Jodhpur,Yes,"52,690",Yes,fixed,NA,"AO (Cash), BSNL O/o GMTD, Jodhpur",Jodhpur,S-4-1490/OFC/4G Sites/Jodhpur SSA/23-24,OFC laying at 4G Sites of Jodhpur SSA  of Jodhpur BA,Please refer Tender documents.,NA,"21,07,585",OFC Laying Works,NA,Tender,150,365,JODHPUR SSA of JODHPUR BA,342008,NA,NA,NA,"AGM (NWP) O/o GM BA, JODHPUR,SUBHASH NAGAR",No,No,22-Aug-2023 04:00 PM,20-Sep-2023 03:30 PM,22-Aug-2023 04:00 PM,19-Sep-2023 03:00 PM,NA,NA,22-Aug-2023 04:00 PM,19-Sep-2023 03:00 PM,GM Jodhpur BA,Subhash Nagar Pal Road Jodhpur
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||PGMTD Anantpur,Motor Driver/Hiring/Tender,2023_BSNL_165102_1,Yes,Open Tender,Supply,Services,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"24,730",Yes,fixed,NA,"AO,CASH,BSNL,ANANTAPUR","AO,CASH,BSNL,ANANTAPUR",E-Tender for hiring of Driver Services in BSNL ATP BA,"E-TENDER FOR HIRING TEMPORARY NATURE SKILLED SERVICES  (DRIVERS)
WITH VALID DRIVING LICENSES FOR DRIVING BSNL OWNED VEHICLES IN ANANTAPUR BUSINESS AREA FOR THE YEAR 2023-24",Please refer the Tender document,NA,"9,89,150",Manpower Supply,NA,Tender,180,365,Anantapur BA,515001,NA,NA,NA,"AGM(A and P) O/o GMT, Anantapur",No,No,21-Aug-2023 12:00 PM,21-Sep-2023 03:30 PM,21-Aug-2023 12:00 PM,20-Sep-2023 03:00 PM,21-Aug-2023 12:00 PM,20-Sep-2023 12:00 PM,21-Aug-2023 12:00 PM,20-Sep-2023 03:00 PM,"General Manager, BSNL, Anantapur","General Manager Telecom, BSNL, Opp HPO, Subash Road, Anantapur, 515001."
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Faizabad,W-2/GMAY BA/PLG/Tender/BBK/ OFC Mtce work/2023-24,2023_BSNL_165059_1,Yes,Open Tender,Lump-sum,Works,2,No,No,Offline,No,No,No,590,AO Claim BSNL,Ayodhya,Yes,"19,250",Yes,fixed,NA,AO Claim BSNL,Ayodhya,Rectification of OFC Faults  Miscellaneous Works in Barabanki OA under  Ayodhya BA,"Rectification of OFC Faults Miscellaneous Works in Barabanki OA under 
Ayodhya BA",Please refer Tender documents.,NA,"7,70,000",Construction Works,NA,Tender,150,365,Ayodhya BA,224001,Chamber of DGM Ayodhya,O/o GM BA Ayodhya,28-Aug-2023 03:00 PM,O/o GM BA Ayodhya,No,No,19-Aug-2023 03:00 PM,19-Sep-2023 03:00 PM,19-Aug-2023 03:00 PM,18-Sep-2023 02:00 PM,19-Aug-2023 03:00 PM,28-Aug-2023 02:00 PM,19-Aug-2023 03:00 PM,18-Sep-2023 02:00 PM,AGM Plg,O/o GM BA Ayodhya
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||Sr.GM (M) Lucknow,DGMTP-LW/SUL Div. Patch Work/T-06/2023-24,2023_BSNL_164880_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"1,180","Account Officer (Claim), BSNL, Lucknow",Lucknow,Yes,"93,894",Yes,percentage,2.5%,"Account Officer (Claim), BSNL, Lucknow",Lucknow,OFC Rehabilitation work in Sultanpur Division,"E-Tender for Laying of PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works etc., for patch works in existing OFC routes at different places in Sultanpur Division",Please refer Tender documents.,NA,"37,55,761",OFC Laying Works,NA,Tender,150,365,Sultanpur Division,228001,NA,NA,NA,Lucknow,No,No,18-Aug-2023 05:00 PM,21-Sep-2023 03:00 PM,18-Aug-2023 05:00 PM,20-Sep-2023 03:00 PM,18-Aug-2023 05:00 PM,14-Sep-2023 12:00 PM,18-Aug-2023 05:00 PM,20-Sep-2023 03:00 PM,SDE(Plg) O/o DGM TP CN(Tx-N) Lucknow,"Office of the Deputy General Manager Telecom Projects
2nd Floor, NIB Building, Kaiserbagh,Telephone Exchange
Lucknow-226001"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||Sr.GM (M) Lucknow,DGMTP-LW/RTTC Div. Patch Work/T-03/2023-24,2023_BSNL_164878_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"1,180","Account Officer (Claim), BSNL, Lucknow",Lucknow,Yes,"1,38,423",Yes,percentage,2.5%,"Account Officer (Claim), BSNL, Lucknow",Lucknow,OFC Rehabilitation work in RTTC Division,"E-Tender for Laying of PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works etc., for patch works in existing OFC routes at different places in RTTC Division",Please refer Tender documents.,NA,"55,36,920",OFC Laying Works,NA,Tender,150,365,RTTC Division,226001,NA,NA,NA,Lucknow,No,No,18-Aug-2023 05:00 PM,21-Sep-2023 12:00 PM,18-Aug-2023 05:00 PM,20-Sep-2023 12:00 PM,18-Aug-2023 05:00 PM,14-Sep-2023 12:00 PM,18-Aug-2023 05:00 PM,20-Sep-2023 12:00 PM,SDE(Plg) O/o DGM TP CN(Tx-N) Lucknow,"Office of the Deputy General Manager Telecom Projects
2nd Floor, NIB Building, Kaiserbagh,Telephone Exchange
Lucknow-226001"
